Round,Start,End, Duration (minutes), ICO, Key Count, Pot (ETH), Team, Player, Average Duration, Average Pot
1,Sat Jul 28 2018 02:59:05 GMT+0200,Sat Jul 28 2018 06:18:45 GMT+0200,199.67,3061.5160,17464.94,3416.8800,Snek,,0xFFffFFF1aC8Dcf49F4AFD3f90995120E568740F9,199.67,3416.88
2,Sat Jul 28 2018 06:19:19 GMT+0200,Sat Jul 28 2018 10:53:51 GMT+0200,274.53,314.3886,4714.86,771.6405,Snek,,0xDa54C3F54b46cC010902F99482ddE46C2D80ddb4,237.10,2094.26
3,Sat Jul 28 2018 10:54:12 GMT+0200,Sat Jul 28 2018 16:28:16 GMT+0200,334.07,72.0680,2797.22,196.0538,Snek,hhgfdewkl,0x01A307658D4Dbf66885E4B2a8385214025bae434,269.42,1461.52
4,Sat Jul 28 2018 16:28:43 GMT+0200,Sat Jul 28 2018 23:20:45 GMT+0200,412.03,176.5070,2812.74,129.4846,Snek,rolex23,0xDa020BE6aFbf83BF26692f9906Fd7F6Bd2FC48d0,305.07,1128.51
5,Sat Jul 28 2018 23:20:47 GMT+0200,Sun Jul 29 2018 02:24:51 GMT+0200,184.07,47.7212,1580.74,47.4528,Bear,skyfire,0x1FcFD25B25CcEaD63665CF867f4F7CBa3e75dE64,280.87,912.30
6,Sun Jul 29 2018 02:24:53 GMT+0200,Sun Jul 29 2018 11:46:54 GMT+0200,562.02,57.0041,2048.03,65.0875,Snek,fomoshort dot me 1 hour rounds,0x5939DC3cA45d14232CedB2135b47A786225Be3e5,327.73,771.10
7,Sun Jul 29 2018 11:46:56 GMT+0200,Sun Jul 29 2018 15:58:09 GMT+0200,251.22,28.0514,1518.86,36.9101,Snek,zack19891212,0x0698CDA624b916e46895DEC3a02E95bCca67D464,316.80,666.22
8,Sun Jul 29 2018 15:58:40 GMT+0200,Mon Jul 30 2018 05:36:16 GMT+0200,817.60,52.1857,2117.09,60.8026,Snek,ldub,0x502a2050C4e692eBD86d03Ef0Eee8c4a0c82C774,379.40,590.54
9,Mon Jul 30 2018 05:36:20 GMT+0200,Mon Jul 30 2018 12:37:06 GMT+0200,420.77,61.6178,2044.91,80.6385,Bear,eth whore,0x4474b406b9Ae231Cf0dBD150724b00411328a8eE,384.00,533.88
10,Mon Jul 30 2018 12:37:18 GMT+0200,Mon Jul 30 2018 14:23:15 GMT+0200,105.95,181.1530,2109.27,92.7328,Bear,eth whore,0x4474b406b9Ae231Cf0dBD150724b00411328a8eE,356.19,489.77
11,Mon Jul 30 2018 14:23:55 GMT+0200,Mon Jul 30 2018 23:35:35 GMT+0200,551.67,62.7868,1806.01,66.3036,Bear,eth whore,0x4474b406b9Ae231Cf0dBD150724b00411328a8eE,373.96,451.27
12,Mon Jul 30 2018 23:35:38 GMT+0200,Tue Jul 31 2018 01:32:57 GMT+0200,117.32,115.4286,1725.01,50.2008,Snek,cdrp08,0x598Aba3d787F737CE6B22cBedad05E20eC3FA414,352.57,417.85
13,Tue Jul 31 2018 01:33:34 GMT+0200,Tue Jul 31 2018 09:58:51 GMT+0200,505.28,68.7015,1567.83,47.6175,Whale,justo,0x8e0d985f3Ec1857BEc39B76aAabDEa6B31B67d53,364.32,389.37
14,Tue Jul 31 2018 09:58:56 GMT+0200,Wed Aug 01 2018 05:11:52 GMT+0200,1152.93,65.7732,2070.73,81.3054,Bear,eth whore,0x4474b406b9Ae231Cf0dBD150724b00411328a8eE,420.65,367.37
15,Wed Aug 01 2018 05:12:00 GMT+0200,Wed Aug 01 2018 05:24:04 GMT+0200,12.07,0.9164,1062.74,38.1371,Bear,what the diddly,0xd801959421d59e81dbDEc2372995670769258885,393.41,345.42
16,Wed Aug 01 2018 05:24:55 GMT+0200,Wed Aug 01 2018 08:37:55 GMT+0200,193.00,39.5362,1108.62,30.0857,Snek,,0xeb711b931879F3D5Cb8E4Db32c50DbeD202b350f,380.89,325.71
17,Wed Aug 01 2018 08:38:47 GMT+0200,Wed Aug 01 2018 12:37:54 GMT+0200,239.12,38.2402,1204.70,23.2552,Snek,,0xeb711b931879F3D5Cb8E4Db32c50DbeD202b350f,372.55,307.92
18,Wed Aug 01 2018 12:39:48 GMT+0200,Wed Aug 01 2018 18:49:36 GMT+0200,369.80,75.8699,1492.43,35.0845,Bear,breakeven,0xC1A065a2d29995692735c82d228B63Df1732030E,372.39,292.76
19,Wed Aug 01 2018 18:52:07 GMT+0200,Wed Aug 01 2018 23:01:05 GMT+0200,248.97,56.7245,1272.16,31.4733,Bull,breakeven,0xC1A065a2d29995692735c82d228B63Df1732030E,365.90,279.01
20,Wed Aug 01 2018 23:01:20 GMT+0200,Thu Aug 02 2018 01:21:12 GMT+0200,139.87,17.1956,792.41,13.3233,Snek,cdrp08,0x598Aba3d787F737CE6B22cBedad05E20eC3FA414,354.60,265.72
21,Thu Aug 02 2018 01:21:28 GMT+0200,Thu Aug 02 2018 03:14:02 GMT+0200,112.57,21.9435,803.24,11.4755,Snek,dann126,0xc95F3D88d39645ecA7DeBabAf5C5AcbBA0bd8e43,343.07,253.62
22,Thu Aug 02 2018 03:14:04 GMT+0200,Thu Aug 02 2018 05:12:21 GMT+0200,118.28,18.5692,707.99,8.7525,Snek,,0xeb711b931879F3D5Cb8E4Db32c50DbeD202b350f,332.85,242.49
23,Thu Aug 02 2018 05:13:31 GMT+0200,Thu Aug 02 2018 10:32:18 GMT+0200,318.78,7.6133,671.72,7.7971,Bear,,0xeb711b931879F3D5Cb8E4Db32c50DbeD202b350f,332.24,232.28
24,Thu Aug 02 2018 10:33:34 GMT+0200,Thu Aug 02 2018 10:53:27 GMT+0200,19.88,6.2245,416.00,4.9855,Bear,laur,0x77bDC13a1e758089Baa04f307a00AfeC653b132B,319.23,222.81
25,Thu Aug 02 2018 10:53:42 GMT+0200,Thu Aug 02 2018 13:09:54 GMT+0200,136.20,5.4742,475.59,4.9245,Bear,autobot,0xea486776b83B459c7BeCc6aDD81cb8cf964733e3,311.91,214.10
26,Thu Aug 02 2018 13:11:21 GMT+0200,Thu Aug 02 2018 14:56:16 GMT+0200,104.92,8.2741,501.49,5.1997,Bear,,0xeb711b931879F3D5Cb8E4Db32c50DbeD202b350f,303.94,206.06
27,Thu Aug 02 2018 14:57:42 GMT+0200,Thu Aug 02 2018 20:40:14 GMT+0200,342.53,2.2123,604.33,6.5488,Bear,,0xeb711b931879F3D5Cb8E4Db32c50DbeD202b350f,305.37,198.67
28,Thu Aug 02 2018 20:40:50 GMT+0200,Fri Aug 03 2018 04:43:19 GMT+0200,482.48,8.6631,1086.28,18.5661,Whale,bad advice,0xf6Bc47E36B7Dd79d21a006470b20A156308E45eb,311.70,192.24
29,Fri Aug 03 2018 04:43:42 GMT+0200,Fri Aug 03 2018 05:16:01 GMT+0200,32.32,20.8763,771.43,12.0188,Snek,cdrp08,0x598Aba3d787F737CE6B22cBedad05E20eC3FA414,302.07,186.03
30,Fri Aug 03 2018 05:16:35 GMT+0200,Fri Aug 03 2018 09:11:34 GMT+0200,234.98,11.0360,811.44,11.0103,Bear,,0xeb711b931879F3D5Cb8E4Db32c50DbeD202b350f,299.83,180.19
31,Fri Aug 03 2018 09:11:35 GMT+0200,Fri Aug 03 2018 11:17:08 GMT+0200,125.55,4.1408,406.91,5.4547,Bear,,0xeb711b931879F3D5Cb8E4Db32c50DbeD202b350f,294.21,174.55
32,Fri Aug 03 2018 11:17:14 GMT+0200,Fri Aug 03 2018 13:01:15 GMT+0200,104.02,2.5906,362.46,3.5616,Bear,autobot,0xea486776b83B459c7BeCc6aDD81cb8cf964733e3,288.26,169.21
33,Fri Aug 03 2018 13:03:08 GMT+0200,Fri Aug 03 2018 14:27:10 GMT+0200,84.03,6.2972,416.70,3.8541,Bear,,0x20aAAD9676e953aDE0089387454AB12cf1bD8ad8,282.08,164.20
34,Fri Aug 03 2018 14:27:31 GMT+0200,Fri Aug 03 2018 16:22:26 GMT+0200,114.92,3.9433,378.27,3.2944,Bear,,0x20aAAD9676e953aDE0089387454AB12cf1bD8ad8,277.16,159.47
35,Fri Aug 03 2018 16:23:00 GMT+0200,Fri Aug 03 2018 17:02:38 GMT+0200,39.63,10.0421,507.15,4.3137,Bear,,0x20aAAD9676e953aDE0089387454AB12cf1bD8ad8,270.37,155.04
36,Fri Aug 03 2018 17:02:58 GMT+0200,Fri Aug 03 2018 19:06:03 GMT+0200,123.08,6.8025,448.69,4.1901,Bear,,0x20aAAD9676e953aDE0089387454AB12cf1bD8ad8,266.28,150.84
37,Fri Aug 03 2018 19:06:57 GMT+0200,Fri Aug 03 2018 19:52:53 GMT+0200,45.93,5.2965,366.97,3.2586,Bear,,0x20aAAD9676e953aDE0089387454AB12cf1bD8ad8,260.33,146.86
38,Fri Aug 03 2018 19:53:25 GMT+0200,Fri Aug 03 2018 23:01:16 GMT+0200,187.85,2.2733,455.13,3.8225,Bear,,0x20aAAD9676e953aDE0089387454AB12cf1bD8ad8,258.42,143.09
39,Fri Aug 03 2018 23:02:02 GMT+0200,Fri Aug 03 2018 23:42:56 GMT+0200,40.90,2.0276,276.10,2.1088,Bear,,0x20aAAD9676e953aDE0089387454AB12cf1bD8ad8,252.84,139.48
40,Fri Aug 03 2018 23:43:29 GMT+0200,Sat Aug 04 2018 00:51:04 GMT+0200,67.58,0.1153,283.54,1.5415,Snek,dann126,0xc95F3D88d39645ecA7DeBabAf5C5AcbBA0bd8e43,248.21,136.03
